Universe, creation|Вселенная, создание
aloft, up in the sky, up in the air,|вверх, в небо, в воздухе,
Sun|Солнце
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Используйте этот домен для слов, связанных с солнцем. Солнце делает три основные вещи. Она движется, это дает свет, и это дает тепло. Эти три действия участвуют в значениях большинство слов в этой области. Так солнце движется ниже линии горизонта, многие слова относятся к нему установки или растет. Так солнце над облаками, многие слова относятся к нему движется за облаками и тучами, блокирующих его свет. Солнечный свет и тепло также вторичные эффекты. Солнце вызывает растения расти, и это приводит к повреждению вещей.
(1) What words refer to the sun?|(1) Какие слова относятся к солнцу?
sun, solar, sol, daystar, our star|солнце, солнечный, соль, дневное светило, наша звезда
(2) What words refer to how the sun moves?|(2) То, что слова относятся к тому, как солнце движется?
rise, set, cross the sky, come up, go down, sink|расти, установить, пересекают небо, придумать, идти вниз, раковина
(3) What words refer to the time when the sun rises?|(3) Какие слова относятся ко времени, когда восходит солнце?
dawn, sunrise, sunup, daybreak, cockcrow,|рассвет, восход солнца, восход солнца, рассвет, рассвет,
(4) What words refer to the time when the sun is at its highest point?|(4) Какие слова относятся ко времени, когда солнце находится в своей высшей точке?
noon, zenith,|полдень, зенитное,
(5) What words refer to the time when the sun sets?|(5) Какие слова относятся ко времени, когда солнце садится?
sunset, dusk, sundown, twilight, eventide,|закат, сумерки, закат, сумерки, вечер,
(6) What words refer to when the sun is shining?|(6) Какие слова в виду, когда светит солнце?
shine, sunny, bright, give light, be sunshiny, daytime,|блеск, солнечный, яркий, дают свет, солнечный быть, днем,
(7) What words refer to the sun shining through the clouds?|(7) Какие слова относятся к солнце сквозь облака?
come out, break through (the clouds), go behind (a cloud)|выйти, прорваться через (облака), идти за (облако)
(8) What words describe where the sun is shining?|(8) Какие слова описывают, где солнце светит?
sunlit, be (out) in the sun, lit by the sun, shine on, be in the sunlight, sunny (spot)|солнечный, то (из) на солнце, освещенной солнцем, сияют на, быть на солнце, солнечный (спот)
(9) What words describe when or where the sun doesn't shine?|(9) Какие слова описывают, когда и где солнце не светит?
shade, eclipse of the sun, sunless, shady, shadow, eclipse (v),|тень, затмение солнца, тусклые, тенистый, тени, затмение (v),
(10) What words refer to the light of the sun?|(10) Какие слова относятся к свету солнца?
sunlight, ray, sunshine, beam, light, sunbeam, radiance, glow, sparkle, glisten, glare|солнечный свет, луч, солнце, луч, свет, луч, сияние, свечение, искры, блестят, блики
(11) What words describe the brightness of the sun?|(11) Какие слова описывают яркость солнца?
bright, intense, brilliant, blinding, glaring, glistening, luminous, dim|яркий, интенсивный, блестящий, ослепительный, яркий, блестящий, яркий, тусклый
(12) What refer to the sun heating things?|(12) Что смотрите на солнце отопления вещей?
warm, heat, dry|тепло, тепло, сухой
(13) What else does the sun do?|(13) Что еще солнце делать?
looks down on|смотрит на
(14) What words describe the damage done by sunlight?|(14) Какие слова описывают урон от солнечных лучей?
sunburn, sunstroke, suntan, tan, heatstroke, heat prostration, sun damage, fading from the sun, bleached by the sun|загар, солнечный удар, загар, загар, тепловой удар, тепло прострации, повреждения солнца, исчезает от солнца, выгорели на солнце
(15) What do people use to protect themselves from the sun?|(15) Что люди используют, чтобы защитить себя от солнца?
sunglasses, shade tree, suntan lotion, awning, sun umbrella, parasol, sunbonnet, hat, visor|солнцезащитные очки, тень деревьев, лосьон, тент, зонтик, пляжный зонт, Sunbonnet, шляпа, козырек
(16) What words are used of telling time by the sun?|(16) Какие слова используются рассказывать времени на солнце?
sundial, angle of the sun, sun-clock, shoot the sun, position of the sun,|солнечные часы, угол солнца, солнца-часы, стрелять солнце, положение солнца,
(17) What words refer to using the power of the sun?|(17) Какие слова относятся к использованию энергии солнца?
solar energy, solar power, solar panel|солнечная энергия, солнечная энергия, солнечные панели
Moon|Луна
Use this domain for words related to the moon. In your culture people may believe things about the moon. For instance in European culture people used to believe that the moon caused people to become crazy. So in English we have words like "moon-struck" and "lunatic." You should include such words in this domain.|Используйте этот домен для слов, связанных с луной. В вашей культуре люди считают, что о Луне. Например, в европейских культурных людей, привыкших верить, что Луна заставляла людей с ума сойти. Таким образом, в английском языке мы имеем такие слова, как &quot;луна ударил» и «сумасшедшим». Вы должны включить такие слова в этой области.
(1) What words refer to the moon?|(1) Какие слова относятся к Луне?
moon, lunar, satellite|Луна, лунный, спутниковое
(2) What words refer to how the moon moves?|(2) То, что слова относятся к тому, как Луна движется?
rise, set, sink|рост, установить, раковина
(3) What words refer to the time when the moon rises?|(3) Какие слова относятся ко времени, когда Луна поднимается?
moonrise, rising of the moon,|восход луны, восход луны,
(4) What words refer to the time when the moon sets?|(4) Какие слова относятся ко времени, когда наборы луна?
moonset, setting of the moon,|захода, установка Луны,
(5) What words refer to when the moon is shining?|(5) Какие слова в виду, когда светит луна?
moon is shining, by the light of the moon, moon is/comes out,|Луна светит, при свете луны, луна / выходит,
(6) What words describe where the moon is shining?|(6) Какие слова описывают, где светит луна?
moonlit, be in the moonlight, lit by the moon, shine on,|лунная, быть в лунном свете, освещенный луной, сияют на,
(7) What words describe when or where the moon doesn't shine?|(7) Какие слова описывают, когда и где луна не светит?
moonless night, eclipse of the moon, eclipse (v),|безлунную ночь, затмение луны, затмение (v),
(8) What words refer to the light of the moon?|(8) Какие слова относятся к свету луны?
moonlight, moonbeam, moonshine,|Лунный свет, лунный луч, самогон,
(9) What words describe the brightness of the moon?|(9) Какие слова описывают яркость Луны?
bright, pale,|яркий, бледный,
(10) What words describe the appearance of the moon?|(10) Какие слова описывают внешний вид Луны?
man in the moon, harvest moon|Человек на луне, Harvest Moon
(11) What words refer to the spots on the moon?|(11) Какие слова относятся к пятен на Луне?
lunar sea, crater,|лунный море, кратер,
(12) What words refer to the phases of the moon?|(12) Какие слова относятся к фазам Луны?
phase, new moon, full moon, half moon, quarter moon, crescent, sliver, moon is waxing (getting bigger), moon is waning (getting smaller), wax and wane|фаза новолуния, полнолуния, полумесяц, четверть луны, полумесяц, ленты, луна растущая (становится больше), луна идет на убыль (становится меньше), воск и убыль
(13) What words refer to the time it takes for the moon to go through its phases?|(13) Какие слова относятся к времени, которое требуется для Луны, чтобы пройти через его этапах?
(lunar) month|(Лунный) месяц
Star|Звезда
Use this domain for words related to the stars and other heavenly bodies.|Используйте этот домен для слов, связанных к звездам и другим небесным телам.
(1) What words are used to refer to the stars?|(1) Какие слова используются для обозначения звезд?
star, starry, stellar|звезда, звездная, звездная
(2) What words describe the sky when the stars are shining?|(2) То, что слова описывают небо, когда звезды сияют?
starlit (sky), (sky is) ablaze with stars, starry (sky), star studded (sky), stars are shining|звездное (небо), (небо) пылает со звездами, звездное небо (), звездного неба (), звезды сияют
(3) What words are used for where the stars are shining?|(3) Какие слова используются для того, где звезды сияют?
starlit, lit by the stars|звездное, освещенное звездами
(4) What words are used for when or where the stars don't shine?|(4) Какие слова используются, когда или где звезды не светят?
starless (sky, night)|беззвездная (небо, ночь)
(5) What words refer to the light of the stars?|(5) Какие слова относятся к свету звезд?
starlight|звездный
(6) What words describe the brightness of the stars?|(6) Какие слова описывают яркость звезды?
bright, brilliant, dim, luminous|яркий, блестящий, тусклый, светящиеся
(7) What words describe the appearance of the stars?|(7) Какие слова описывают внешний вид звезд?
twinkle, wink, glittering, star shaped|мерцают, подмигивание, сверкающие, в форме звезды
(8) What words refer to the study of the stars?|(8) Какие слова относятся к изучению звезд?
astronomy, astronomer, astrology, astrologer, stargazer, magi|астрономия, астроном, астрология, астролог, астроном, маги
(9) What is a group of stars called?|(9) Что группа звезд называется?
constellation, galaxy, nebula|созвездие, галактика, туманность
Planet|Планета
Use this domain for words related to planets (large objects that circle the sun, looking like bright wandering stars in the sky), comets (objects that circle the sun, looking like a star with a tail), meteors (small objects that come from space and burn up when they hit the earth's atmosphere, causing a streak of light across the sky), and asteroids (small objects that circle the sun), planetary moons (large objects that circle the planets). Some cultures do not study the stars and will have few or no words in this domain. Others cultures that study the stars will have many words. There are only five planets that people can see in the sky--Mercury, Venus, Mars, Jupiter, and Saturn. The others are only known from the scientific study of astronomy.|Используйте этот домен для слов, связанных с планетами (крупных объектов, которые вращаются вокруг солнца, глядя, как яркие звезды блуждающие в небе), кометы (объекты, которые вращаются вокруг Солнца, глядя, как звезда с хвостом), метеоры (небольшие объекты, которые приходят от пространство и записать, когда они попали в атмосферу Земли, в результате чего луч света по небу), и астероиды (малые объекты, которые вращаются вокруг Солнца), планетарные лун (крупные объекты, которые вращаются вокруг планеты). В некоторых культурах не изучают звезды и будет иметь мало или нет слов в этой области. Другие культуры, которые изучают звезды будет иметь много слов. Есть только пять планет, которые люди могут видеть в небе - Меркурий, Венера, Марс, Юпитер и Сатурн. Остальные известны только из научного изучения астрономии.
(1) What words refer to a planet?|(1) Какие слова относятся к планете?
planet, planetary, wandering star|планета, планетарные, блуждая звезда
(2) What are the names of the planets?|(2) Какие имена планет?
Mercury, Venus (Morning Star, Evening Star), Earth, Mars, Jupiter, Saturn, Uranus, Neptune, Pluto|Меркурий, Венера (Утренняя звезда, вечерняя звезда), Земля, Марс, Юпитер, Сатурн, Уран, Нептун, Плутон
(3) What words refer to how the planets move?|(3) Какие слова относятся к тому, как планеты движутся?
revolve (around the sun), orbit,|вращаются (вокруг Солнца), орбита,
(4) What words refer to the sun and planets?|(4) Какие слова относятся к Солнца и планет?
solar system|солнечная система
(5) What words refer to comets?|(5) Какие слова относятся к кометам?
comet, tail, head|Комета, хвост, голова
(6) What do comets do?|(6) Что кометы делать?
appear, point, fade|появляются, точка, исчезают
(7) What words refer to meteors?|(7) Какие слова относятся к метеоров?
meteor, shooting star, falling star, meteor trail, meteor shower|метеор, падающая звезда, падающие звезды, метеор след, метеорный поток
(8) What do meteors do?|(8) Что метеоры делать?
flash across the sky, blaze a trail across the sky, strike the earth, make a crater, burn up|мигать в небе, прокладывать путь по небу, поразит землю, сделать кратер, сжечь
(9) What words are used for when a meteor hits the earth?|(9) Какие слова используются, когда метеорит попадает в землю?
meteorite, meteor crater|метеорит, метеоритный кратер
(10) What is a small planet called?|(10) Что маленькая планета называется?
asteroid, moon|Астероид, луна
Air|Воздуха
Use this domain for words related to the air around us, including the air we breathe and the atmosphere around the earth.|Используйте этот домен для слов, связанных с воздуха вокруг нас, в том числе воздух, которым мы дышим, и атмосфера вокруг Земли.
(1) What words refer to the air we breathe?|(1) Какие слова относятся к воздуху, которым мы дышим?
air|воздуха
(2) What words refer to how much water is in the air?|(2) То, что слова относятся к тому, сколько воды находится в воздухе?
humid, humidity, damp, dry, sticky, muggy|влажный, влажность, сыро, сухой, липкий, душный
(3) What words describe good air (such as when the air in a room is clean or doesn't smell bad)?|(3) Какие слова описывают хороший воздух (например, когда воздух в помещении чистым и не пахнет плохо)?
fresh air, airy, well ventilated|свежий воздух, просторные, хорошо проветриваемом
(4) What words describe bad air (such as when the air in a room is dirty, hot, smells bad, or too many people are breathing)?|(4) Какие слова описывают плохой воздух (например, когда воздух в комнате грязно, жарко, плохо пахнет, или слишком много людей дыхание)?
stuffy, airless, stifling, polluted, air pollution, smog|душно, безвоздушное, душно, загрязнены, загрязнение воздуха, смога
Blow air|Удар воздуха
Use this domain for words related to causing air to move.|Используйте этот домен для слов, связанных с причинением воздуху перемещаться.
(1) What words refer to causing air to move?|(1) Какие слова относятся к вызывая воздух двигаться?
blow, fan, exhaust, expel, explode|удар, вентилятор, выхлопных газов, высылать, взрываются
(2) What words refer to letting air blow through something?|(2) То, что слова относятся к позволяя воздуха удар через что-то?
air out, ventilate|проветрить, проветрите
(3) What words refer to putting air into something (such as a tire or balloon)?|(3) Какие слова см положить воздух в то (например, шины или баллон)?
blow up, inflate, pump up, pneumatic|взорвать, надуваться, накачать, пневматические
(4) What words refer to keeping air out of something?|(4) Какие слова относятся к поддержанию воздух из чего-то?
seal, airtight|печать, герметичные
(5) What words refer to how much air is in something?|(5) Какие слова относятся к тому, как много воздуха в чем-то?
air pressure, vacuum|Давление воздуха, вакуумные
(6) What words refer to using the wind to winnow grain?|(6) Какие слова относятся к использованию ветер веять зерно?
winnow|веять
(7) What tools and machines are used to create or use the wind?|(7) Какие инструменты и машины используются для создания или использовать ветер?
fan, air pump, bellows, ventilator, wind tunnel, propeller, air pipe, airshaft, vent, chimney, exhaust, funnel, windmill, sail, valve|вентилятор, воздушный насос, сильфонные, вентилятор, ветер тоннель, пропеллер, воздуховод, вентиляционную шахту, вентиляционные, трубы, выхлопных газов, воронка, ветряная мельница, парус, клапан
Weather|Погода
Use this domain for words related to the weather.|Используйте этот домен для слов, связанных с погодой.
(1) What words refer to the weather?|(1) Какие слова относятся к погоде?
weather, weather conditions, atmospheric (conditions)|погода, погодные условия, атмосферные условия ()
(2) What words describe the weather when it is good?|(2) То, что слова описывают погоду, когда это хорошо?
sunny, sunshine, clear (weather), good (weather), fair (weather), fine (day)|солнечный, солнце, ясно (погода), хорошо (погода), ярмарка (погода), штраф (день)
(3) What words describe the weather when it is getting better?|(3) Какие слова описывают погоду, когда она становится лучше?
clear, clear up, sun comes out,|ясно, прояснить, солнце выходит,
(4) What words describe the weather when it is bad?|(4) Какие слова описывают погоду, когда плохо?
bad, terrible, foul, inclement, rough, dirty sky, severe|плохо, страшно, фол, ненастная, грубая, грязная небо, тяжелые
(5) What words describe the weather when it is getting worse?|(5) Какие слова описывают погоду, когда она становится хуже?
cloud up, deteriorate|запотевает, ухудшается
(6) What words describe the weather when it changes?|(6) Какие слова описывают погоду, когда она меняется?
(cold/warm/storm) front|(Холод / тепло / буря) передняя
(7) What words describe the weather when it stays the same?|(7) Какие слова описывают погоду, когда его остается такой же?
stretch (of good weather), keep up|растянуть (хорошей погоды), сохранить
(8) What words are used to describe any kind of weather?|(8) Какие слова используются для описания любой погоде?
rain or shine, all weather, in all weathers|дождь или солнце, все погода, в любую погоду
(9) What words describe the temperature?|(9) Какие слова описывают температуру?
temperature, hot, warm, heat, cold, chilly, crisp, mild, unseasonably warm/cold, scorching, heat wave, cold spell, cold snap, frigid, freezing, be a chill in the air,|Температура, горячий, теплый, тепло, холод, холодно, хрустящий, мягкий, не по сезону тепло / холод, палящее, жара, похолодание, похолодание, холодный, замораживания, холод в воздухе,
(10) What words describe the weather when there is a lot of water in the air?|(10) Какие слова описывают погоду, когда есть много воды в воздухе?
humid, humidity, damp, sultry|влажный, влажность, сыро, душно
(11) What words refer to the type of weather a place normally has?|(11) Какие слова относятся к типу погоды место обычно имеет?
climate, dry/wet/cold/hot climate, tropical, temperate|климат, сухой / влажный / холодная / горячая климат, тропический, умеренный
(12) What words describe something that has been exposed to the weather for a long time?|(12) Какие слова описывают то, что было с неблагоприятными погодными течение длительного времени?
weather-beaten, weathered|непогодой, выветривания
(13) What words refer to studying the weather?|(13) Какие слова относятся к изучению погода?
meteorology, meteorologist, weatherman|метеорология, метеоролог, метеоролог
(14) What instruments are used to study the weather?|(14) Какие инструменты используются для изучения погоды?
thermometer, barometer, weathervane|термометр, барометр, флюгер
(15) What words refer to a report about the weather?|(15) Какие слова относятся к докладу о погоде?
weather forecast, weather report, the weather, the outlook|Прогноз погоды, прогноз погоды, погода, прогноз
Wind|Ветер
Use this domain for words related to the wind. Some words refer to when the wind begins and ends. The wind changes in speed, so some words refer to how fast the wind is moving. Try to rank these on a scale from very slow to very fast. These words may also be distinguished by what the wind does, since a fast wind does more things. These words may also be distinguished by how long the wind blows. Some words refer to the speed of the wind becoming faster or slower. Some words distinguish a steady wind from a wind in which the speed keeps changing. Some words refer to when the speed of the wind becomes faster for a short time. A steady wind moves in a particular direction, so there are words that include the direction of the wind. The direction of the wind may refer to the points of the compass, a neighboring geographical feature or area, or the direction in which the speaker is moving. Some words refer to a wind that moves in a small circle, making a pillar of dust or a funnel-shaped cloud. Some words refer to what the wind does, such as when it moves or damages something. People can feel the wind, so some words refer to how it feels. The wind makes noise, so there are words that refer to the sound of the wind. In some cultures there is a relation between the wind and spirits, so some words may refer to the activity of the spirits in the wind, or that the wind brings disease.|Используйте этот домен для слов, связанных с ветром. Некоторые слова относятся к тому, когда ветер начинается и заканчивается. Изменения в скорости ветра, поэтому некоторые слова относятся к тому, как быстро ветер движется. Попробуйте место их по шкале от очень медленно очень быстро. Эти слова могут также быть выделены по тому, что ветер делает, так как быстро ветер делает больше вещей. Эти слова также могут различаться, как долго дует ветер. Некоторые слова относятся к скорости ветра становятся быстрее или медленнее. Несколько слов отличить стабильный ветер от ветра, в которых скорость постоянно меняется. Некоторые слова в виду, когда скорость ветра становится быстрее, в течение короткого времени. Устойчивый ветер движется в определенном направлении, так что есть слова, которые включают в себя направление ветра. Направление ветра может относиться к точкам компаса, соседней географическому признаку или района, или направления, в котором движется спикер. Некоторые слова относятся к ветру, что движется в узком кругу, что делает столб пыли или воронкообразную облако. Некоторые слова относятся к тому, что ветер делает, например, когда он перемещается или убытки кое-что. Люди могут чувствовать ветер, поэтому некоторые слова относятся к тому, как он себя чувствует. Ветер шумит, так что есть слова, которые относятся к звуку ветра. В некоторых культурах существует связь между ветром и духов, поэтому некоторые слова могут относиться к деятельности духов на ветру, или что ветер приносит болезни.
(1) What general words refer to the wind?|(1) Что общего слова относятся к ветру?
wind, windy, wind current|Ветер, ветер, ветер тока
(2) What words describe a wind that only lasts a short time?|(2) Какие слова описывают ветер, что только длится короткое время?
breath of air, puff of wind, gust, blast, flurry|глоток воздуха, дуновение ветра, порывов, взрыв, шквал
(3) What words describe a steady wind?|(3) Какие слова описывают устойчивый ветер?
steady wind, trade wind, monsoon winds|устойчивый ветер, пассат, муссонные ветры
(4) What words describe a wind that comes and goes?|(4) Какие слова описывают ветер, который приходит и уходит?
intermittent, gusty, blustery|прерывистый, порывистый, ветреный
(5) What words describe a strong wind?|(5) Какие слова описывают сильный ветер?
heavy wind, strong wind, squall, gale, stormy wind, howling wind|сильный ветер, сильный ветер, шквал, ветер, ураганный ветер, воющий ветер
(6) What words describe a light wind?|(6) Какие слова описывают легкий ветерок?
light wind, gentle wind, draft, draught, breeze, breezy, zephyr|легкий ветер, ветерок, проект, проект, ветер, свежий, зефир
(7) What words describe a windstorm?|(7) Какие слова описывают бурю?
windstorm, sandstorm, tempest, tempestuous|буря, песчаная, буря, буря
(8) What words refer to a wind that moves in a circle?|(8) Какие слова относятся к ветру, который движется по кругу?
whirlwind, tornado, twister, dust devil, funnel, waterspout|вихрь, торнадо, смерч, пыль дьявола, воронка, смерч
(9) What words refer to a warm or cold wind?|(9) Какие слова относятся к теплой или холодной ветра?
Chinook, sirocco|Чинук, сирокко
(10) What words describe when the wind begins?|(10) Какие слова описывают, когда начинается ветер?
pick up, rise, freshen, gather, blow up|забрать, расти, освежить, собирать, взорвать
(11) What words describe when the wind stops?|(11) Какие слова описывают, когда ветер прекращается?
drop, die down, calm, still|падение, умирают вниз, спокойно, по-прежнему
(12) What words describe the direction of the wind?|(12) Какие слова описывают направление ветра?
north/south/east/west wind, northeaster, wind off the ocean, ocean breeze, wind from the mountains, mountain breeze, wind from the desert, updraft, downdraft, head wind, tail wind, following wind, cross breeze, windward, lee, prevailing|север / юг / восток / запад ветер, норд-ост, ветер с океана, океанский бриз, ветер с гор, горный ветер, ветер из пустыни, восходящим потоком, нисходящим потоком встречного ветра, попутного ветра, следующее, ветра, крест ветер, ветре, Ли, преобладающих
(13) What does the wind do?|(13) Что ветер делать?
blow, knock down (things), rip, tear off, bend, puff out, billow out (sail), push (boat), raise (waves), fan flames, push snow into drifts, ventilate a house|удар, сбить (вещи), считывать, оторвать, изгиб, выпячивать, вздыматься (парус), толчок (лодка), поднять (волны), вентилятор пламя, нажать снег в сугробах, проветрить дом
(14) What words describe something being blown by the wind?|(14) Какие слова описывают то время ветром?
be blown by the wind, wind blows something, blow away, waft on the breeze, flutter in the breeze, be carried by the wind, be born along on/by the wind, be picked up by the wind|быть ветром, ветер что-то, сдуть, дуновение ветерка на, трепетание на ветру, быть переносятся ветром, родиться вместе на / от ветра, подхвачена ветром
(15) What instruments are used to measure the direction or force of the wind?|(15) Какие инструменты используются для измерения направления или силы ветра?
weathervane, weathercock, windsock, wind gauge|флюгер, флюгер, Уиндзок, анемометр
(16) What sounds does the wind make?|(16) То, что звучит делает ветер марку?
whisper, sigh, moan, whistle, howl, scream, shriek|шепот, вздох, стон, свист, вой, крик, визг
Cloud|Облако
Use this domain for words related to the clouds.|Используйте этот домен для слов, связанных с облаками.
(1) What words refer to a cloud?|(1) Какие слова относятся к облаку?
cloud|облако
(2) What do clouds do?|(2) Что облака делать?
rain, build, rise, gather, disperse, billow, blow, blown by the wind, move across the sky, threatening, shadow, obscure, hide (the sun)|дождь, строить, рост, собирать, разойтись, Бюлов, удар, ветром, движутся по небу, угрожая, тень, скрывать, прятать (ВС)
(3) What words describe different kinds of clouds?|(3) Какие слова описывают различные виды облаков?
storm clouds, rain cloud, cumulus, thunderhead, anvil shaped, billowing, nimbus, fluffy, cirrus, wispy, vapor trail, haze, hazy, fog, foggy, mist, misty, steam, vapor, band, smog, fume, cloud of smoke|тучи, дождь облако, кучевые, грозовой фронт, наковальня в форме, вздымающиеся, нимб, пушистый, перистые, тонкий, инверсионный след, дымка, туманная, туман, туман, туман, туманный, пар, пар, группа, смога, дыма, облаков из дым
(4) What words describe how many clouds are in the sky?|(4) Какие слова описывают, как многие облака в небе?
cloudy, cloud up, cloud cover, be clouded over, overcast, partly cloudy, scattered clouds, gray, dull, foggy|облачно, запотевает, облачный покров, быть заволокло, пасмурно, облачно, частично, разбросанные облака, серая, тусклая, туманная
Rain|Дождь
Use this domain for words related to the rain.|Используйте этот домен для слов, связанных с дождем.
(1) What words refer to the rain?|(1) Какие слова относятся к дождю?
rain, precipitation, rainfall|дождь, осадки, осадки
(2) What does the rain do?|(2) Что делать дождя?
rain (v), fall, pelt, splatter, drench, water (v)|дождь (v), осень, шкура, брызги, поливку, вода (v)
(3) What words describe the weather when it is raining?|(3) Какие слова описывают погоду, когда идет дождь?
rainy, wet|дождливая, мокрый
(4) What words refer to when the rain stops?|(4) Какие слова в виду, когда дождь прекращается?
stop raining|остановить дождь
(5) What words describe how hard it is raining?|(5) Какие слова описывают, как трудно идет дождь?
sprinkle, drizzle, light rain, shower, pour, downpour, cloudburst, rainstorm, hard/heavy/driving rain, torrential, deluge, thundershower|Посыпать, дождь, дождь, ливень, залить, ливень, ливень, ливень, трудно / тяжело / проливной дождь, проливной, потоп, ливень
(6) What words describe when it rains a lot?|(6) Какие слова описывают, когда идет дождь много?
rainy season, monsoon, the rains|Дождливый сезон муссонов, дожди,
(7) What is a single drop of rain?|(7) Что такое одна капля дождя?
raindrop, drop,|капля, капли,
(8) What words refer to rain water on the ground?|(8) Какие слова относятся к дождевой воды на земле?
rainwater, puddle, run-off|дождевая вода, лужа, стоки
(9) What sound does the rain make?|(9) Какой звук браузер дождь сделать?
pitter-patter, drum, drip drip|барабанить, барабан, капельного капельного
(10) What words refer to a rainbow?|(10) Какие слова относятся к радуге?
rainbow|радуга
(11) What words refer to dew?|(11) Какие слова относятся к роса?
dew, dewdrop, (ground is) damp with dew, moisture|роса, капля, (земля) влажный росой, влаги
(12) What do people use to protect themselves from the rain?|(12) Что люди используют, чтобы защитить себя от дождя?
