Universe, creation|宇宙、作成
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|太陽に関連した言葉は、このドメインを使用します。太陽は、3つの基本的なことを行います。それは、光を与え、移動し、それが熱を与えます。これらの3つのアクションは、このドメイン内の単語のほとんどの意味に関与しています。太陽が地平線の下に移動するので、多くの言葉は、それが設定または上昇を参照してください。太陽が雲の上にあるので、多くの言葉は、雲と、その光を遮断する雲の後ろに移動し、それを参照してください。太陽の光と熱はまた、二次的効果を生じます。太陽は、植物が成長させ、それは物事への損傷を引き起こします。
(1) What words refer to the sun?|（1）どのような言葉は、太陽を参照してください？
sun, solar, sol, daystar, our star|太陽、太陽、ゾル、明けの明星、私たちの星
(2) What words refer to how the sun moves?|（2）どのような単語がどのように太陽の移動を参照してください？
rise, set, cross the sky, come up, go down, sink|上昇、セット、空を横切る、出てくる、ダウンし、シンク
(3) What words refer to the time when the sun rises?|（3）どのような言葉は、太陽が昇る時間を参照してください？
dawn, sunrise, sunup, daybreak, cockcrow,|夜明け、日の出、日の出、夜明け、早暁、
(4) What words refer to the time when the sun is at its highest point?|（4）どのような言葉は、太陽がその最高点にある時間を参照してください？
noon, zenith,|正午、天頂、
(5) What words refer to the time when the sun sets?|（5）どのような言葉は、ときに太陽が沈む時間を参照してください？
sunset, dusk, sundown, twilight, eventide,|日没、夕暮れ、日没、夕暮れ、イーブンタイド、
(6) What words refer to when the sun is shining?|（6）どのような言葉は太陽が輝いているときに参照してください？
shine, sunny, bright, give light, be sunshiny, daytime,|輝き、日当たりの良い、明るい、光を与え、日当たりこと、昼間、
(7) What words refer to the sun shining through the clouds?|（7）どのような言葉は、雲の切れ間から輝く太陽を参照してください？
come out, break through (the clouds), go behind (a cloud)|（クラウド）の後ろに行く、（雲）を突破、出てきます
(8) What words describe where the sun is shining?|（8）太陽が輝いている場所を記述何語？
sunlit, be (out) in the sun, lit by the sun, shine on, be in the sunlight, sunny (spot)|（8）太陽が輝いている場所を記述何語？
(9) What words describe when or where the sun doesn't shine?|（8）太陽が輝いている場所を記述何語？
shade, eclipse of the sun, sunless, shady, shadow, eclipse (v),|（8）太陽が輝いている場所を記述何語？
(10) What words refer to the light of the sun?|（8）太陽が輝いている場所を記述何語？
sunlight, ray, sunshine, beam, light, sunbeam, radiance, glow, sparkle, glisten, glare|（8）太陽が輝いている場所を記述何語？
(11) What words describe the brightness of the sun?|（8）太陽が輝いている場所を記述何語？
bright, intense, brilliant, blinding, glaring, glistening, luminous, dim|（8）太陽が輝いている場所を記述何語？
(12) What refer to the sun heating things?|（8）太陽が輝いている場所を記述何語？
warm, heat, dry|（8）太陽が輝いている場所を記述何語？
(13) What else does the sun do?|（8）太陽が輝いている場所を記述何語？
looks down on|（8）太陽が輝いている場所を記述何語？
(14) What words describe the damage done by sunlight?|（8）太陽が輝いている場所を記述何語？
sunburn, sunstroke, suntan, tan, heatstroke, heat prostration, sun damage, fading from the sun, bleached by the sun|（8）太陽が輝いている場所を記述何語？
(15) What do people use to protect themselves from the sun?|（8）太陽が輝いている場所を記述何語？
sunglasses, shade tree, suntan lotion, awning, sun umbrella, parasol, sunbonnet, hat, visor|（8）太陽が輝いている場所を記述何語？
(16) What words are used of telling time by the sun?|（8）太陽が輝いている場所を記述何語？
sundial, angle of the sun, sun-clock, shoot the sun, position of the sun,|（8）太陽が輝いている場所を記述何語？
(17) What words refer to using the power of the sun?|（8）太陽が輝いている場所を記述何語？
solar energy, solar power, solar panel|（8）太陽が輝いている場所を記述何語？
Moon|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to the moon. In your culture people may believe things about the moon. For instance in European culture people used to believe that the moon caused people to become crazy. So in English we have words like "moon-struck" and "lunatic." You should include such words in this domain.|（8）太陽が輝いている場所を記述何語？
(1) What words refer to the moon?|（8）太陽が輝いている場所を記述何語？
moon, lunar, satellite|（8）太陽が輝いている場所を記述何語？
(2) What words refer to how the moon moves?|（8）太陽が輝いている場所を記述何語？
rise, set, sink|（8）太陽が輝いている場所を記述何語？
(3) What words refer to the time when the moon rises?|（8）太陽が輝いている場所を記述何語？
moonrise, rising of the moon,|（8）太陽が輝いている場所を記述何語？
(4) What words refer to the time when the moon sets?|（8）太陽が輝いている場所を記述何語？
moonset, setting of the moon,|（8）太陽が輝いている場所を記述何語？
(5) What words refer to when the moon is shining?|（8）太陽が輝いている場所を記述何語？
moon is shining, by the light of the moon, moon is/comes out,|（8）太陽が輝いている場所を記述何語？
(6) What words describe where the moon is shining?|（8）太陽が輝いている場所を記述何語？
moonlit, be in the moonlight, lit by the moon, shine on,|（8）太陽が輝いている場所を記述何語？
(7) What words describe when or where the moon doesn't shine?|（8）太陽が輝いている場所を記述何語？
moonless night, eclipse of the moon, eclipse (v),|（8）太陽が輝いている場所を記述何語？
(8) What words refer to the light of the moon?|（8）太陽が輝いている場所を記述何語？
moonlight, moonbeam, moonshine,|（8）太陽が輝いている場所を記述何語？
(9) What words describe the brightness of the moon?|（8）太陽が輝いている場所を記述何語？
bright, pale,|（8）太陽が輝いている場所を記述何語？
(10) What words describe the appearance of the moon?|（8）太陽が輝いている場所を記述何語？
man in the moon, harvest moon|（8）太陽が輝いている場所を記述何語？
(11) What words refer to the spots on the moon?|（8）太陽が輝いている場所を記述何語？
lunar sea, crater,|（8）太陽が輝いている場所を記述何語？
(12) What words refer to the phases of the moon?|（8）太陽が輝いている場所を記述何語？
phase, new moon, full moon, half moon, quarter moon, crescent, sliver, moon is waxing (getting bigger), moon is waning (getting smaller), wax and wane|（8）太陽が輝いている場所を記述何語？
(13) What words refer to the time it takes for the moon to go through its phases?|（8）太陽が輝いている場所を記述何語？
(lunar) month|（8）太陽が輝いている場所を記述何語？
Star|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to the stars and other heavenly bodies.|（8）太陽が輝いている場所を記述何語？
(1) What words are used to refer to the stars?|（8）太陽が輝いている場所を記述何語？
star, starry, stellar|（8）太陽が輝いている場所を記述何語？
(2) What words describe the sky when the stars are shining?|（8）太陽が輝いている場所を記述何語？
starlit (sky), (sky is) ablaze with stars, starry (sky), star studded (sky), stars are shining|（8）太陽が輝いている場所を記述何語？
(3) What words are used for where the stars are shining?|（8）太陽が輝いている場所を記述何語？
starlit, lit by the stars|（8）太陽が輝いている場所を記述何語？
(4) What words are used for when or where the stars don't shine?|（8）太陽が輝いている場所を記述何語？
starless (sky, night)|（8）太陽が輝いている場所を記述何語？
(5) What words refer to the light of the stars?|（8）太陽が輝いている場所を記述何語？
starlight|（8）太陽が輝いている場所を記述何語？
(6) What words describe the brightness of the stars?|（8）太陽が輝いている場所を記述何語？
bright, brilliant, dim, luminous|（8）太陽が輝いている場所を記述何語？
(7) What words describe the appearance of the stars?|（8）太陽が輝いている場所を記述何語？
twinkle, wink, glittering, star shaped|（8）太陽が輝いている場所を記述何語？
(8) What words refer to the study of the stars?|（8）太陽が輝いている場所を記述何語？
astronomy, astronomer, astrology, astrologer, stargazer, magi|（8）太陽が輝いている場所を記述何語？
(9) What is a group of stars called?|（8）太陽が輝いている場所を記述何語？
constellation, galaxy, nebula|（8）太陽が輝いている場所を記述何語？
Planet|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to planets (large objects that circle the sun, looking like bright wandering stars in the sky), comets (objects that circle the sun, looking like a star with a tail), meteors (small objects that come from space and burn up when they hit the earth's atmosphere, causing a streak of light across the sky), and asteroids (small objects that circle the sun), planetary moons (large objects that circle the planets). Some cultures do not study the stars and will have few or no words in this domain. Others cultures that study the stars will have many words. There are only five planets that people can see in the sky--Mercury, Venus, Mars, Jupiter, and Saturn. The others are only known from the scientific study of astronomy.|（8）太陽が輝いている場所を記述何語？
(1) What words refer to a planet?|（8）太陽が輝いている場所を記述何語？
planet, planetary, wandering star|（8）太陽が輝いている場所を記述何語？
(2) What are the names of the planets?|（8）太陽が輝いている場所を記述何語？
Mercury, Venus (Morning Star, Evening Star), Earth, Mars, Jupiter, Saturn, Uranus, Neptune, Pluto|（8）太陽が輝いている場所を記述何語？
(3) What words refer to how the planets move?|（8）太陽が輝いている場所を記述何語？
revolve (around the sun), orbit,|（8）太陽が輝いている場所を記述何語？
(4) What words refer to the sun and planets?|（8）太陽が輝いている場所を記述何語？
solar system|（8）太陽が輝いている場所を記述何語？
(5) What words refer to comets?|（8）太陽が輝いている場所を記述何語？
comet, tail, head|（8）太陽が輝いている場所を記述何語？
(6) What do comets do?|（8）太陽が輝いている場所を記述何語？
appear, point, fade|（8）太陽が輝いている場所を記述何語？
(7) What words refer to meteors?|（8）太陽が輝いている場所を記述何語？
meteor, shooting star, falling star, meteor trail, meteor shower|（8）太陽が輝いている場所を記述何語？
(8) What words describe where the sun is shining?|（8）太陽が輝いている場所を記述何語？
sunlit, be (out) in the sun, lit by the sun, shine on, be in the sunlight, sunny (spot)|（8）太陽が輝いている場所を記述何語？
(9) What words describe when or where the sun doesn't shine?|（8）太陽が輝いている場所を記述何語？
shade, eclipse of the sun, sunless, shady, shadow, eclipse (v),|（8）太陽が輝いている場所を記述何語？
(10) What words refer to the light of the sun?|（8）太陽が輝いている場所を記述何語？
sunlight, ray, sunshine, beam, light, sunbeam, radiance, glow, sparkle, glisten, glare|（8）太陽が輝いている場所を記述何語？
(11) What words describe the brightness of the sun?|（8）太陽が輝いている場所を記述何語？
bright, intense, brilliant, blinding, glaring, glistening, luminous, dim|（8）太陽が輝いている場所を記述何語？
(12) What refer to the sun heating things?|（8）太陽が輝いている場所を記述何語？
warm, heat, dry|（8）太陽が輝いている場所を記述何語？
(13) What else does the sun do?|（8）太陽が輝いている場所を記述何語？
looks down on|（8）太陽が輝いている場所を記述何語？
(14) What words describe the damage done by sunlight?|（8）太陽が輝いている場所を記述何語？
sunburn, sunstroke, suntan, tan, heatstroke, heat prostration, sun damage, fading from the sun, bleached by the sun|（8）太陽が輝いている場所を記述何語？
(15) What do people use to protect themselves from the sun?|（8）太陽が輝いている場所を記述何語？
sunglasses, shade tree, suntan lotion, awning, sun umbrella, parasol, sunbonnet, hat, visor|（8）太陽が輝いている場所を記述何語？
(16) What words are used of telling time by the sun?|（8）太陽が輝いている場所を記述何語？
sundial, angle of the sun, sun-clock, shoot the sun, position of the sun,|（8）太陽が輝いている場所を記述何語？
(17) What words refer to using the power of the sun?|（8）太陽が輝いている場所を記述何語？
solar energy, solar power, solar panel|（8）太陽が輝いている場所を記述何語？
Moon|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to the moon. In your culture people may believe things about the moon. For instance in European culture people used to believe that the moon caused people to become crazy. So in English we have words like "moon-struck" and "lunatic." You should include such words in this domain.|（8）太陽が輝いている場所を記述何語？
(1) What words refer to the moon?|（8）太陽が輝いている場所を記述何語？
moon, lunar, satellite|（8）太陽が輝いている場所を記述何語？
(2) What words refer to how the moon moves?|（8）太陽が輝いている場所を記述何語？
rise, set, sink|（8）太陽が輝いている場所を記述何語？
(3) What words refer to the time when the moon rises?|（8）太陽が輝いている場所を記述何語？
moonrise, rising of the moon,|（8）太陽が輝いている場所を記述何語？
(4) What words refer to the time when the moon sets?|（8）太陽が輝いている場所を記述何語？
moonset, setting of the moon,|（8）太陽が輝いている場所を記述何語？
(5) What words refer to when the moon is shining?|（8）太陽が輝いている場所を記述何語？
moon is shining, by the light of the moon, moon is/comes out,|（8）太陽が輝いている場所を記述何語？
(6) What words describe where the moon is shining?|（8）太陽が輝いている場所を記述何語？
moonlit, be in the moonlight, lit by the moon, shine on,|（8）太陽が輝いている場所を記述何語？
(7) What words describe when or where the moon doesn't shine?|（8）太陽が輝いている場所を記述何語？
moonless night, eclipse of the moon, eclipse (v),|（8）太陽が輝いている場所を記述何語？
(8) What words refer to the light of the moon?|（8）太陽が輝いている場所を記述何語？
moonlight, moonbeam, moonshine,|（8）太陽が輝いている場所を記述何語？
(9) What words describe the brightness of the moon?|（8）太陽が輝いている場所を記述何語？
bright, pale,|（8）太陽が輝いている場所を記述何語？
(10) What words describe the appearance of the moon?|（8）太陽が輝いている場所を記述何語？
man in the moon, harvest moon|（8）太陽が輝いている場所を記述何語？
(11) What words refer to the spots on the moon?|（8）太陽が輝いている場所を記述何語？
lunar sea, crater,|（8）太陽が輝いている場所を記述何語？
(12) What words refer to the phases of the moon?|（8）太陽が輝いている場所を記述何語？
phase, new moon, full moon, half moon, quarter moon, crescent, sliver, moon is waxing (getting bigger), moon is waning (getting smaller), wax and wane|（8）太陽が輝いている場所を記述何語？
(13) What words refer to the time it takes for the moon to go through its phases?|（8）太陽が輝いている場所を記述何語？
(lunar) month|（8）太陽が輝いている場所を記述何語？
Star|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to the stars and other heavenly bodies.|（8）太陽が輝いている場所を記述何語？
(1) What words are used to refer to the stars?|（8）太陽が輝いている場所を記述何語？
star, starry, stellar|（8）太陽が輝いている場所を記述何語？
(2) What words describe the sky when the stars are shining?|（8）太陽が輝いている場所を記述何語？
starlit (sky), (sky is) ablaze with stars, starry (sky), star studded (sky), stars are shining|（8）太陽が輝いている場所を記述何語？
(3) What words are used for where the stars are shining?|（8）太陽が輝いている場所を記述何語？
starlit, lit by the stars|（8）太陽が輝いている場所を記述何語？
(4) What words are used for when or where the stars don't shine?|（8）太陽が輝いている場所を記述何語？
starless (sky, night)|（8）太陽が輝いている場所を記述何語？
(5) What words refer to the light of the stars?|（8）太陽が輝いている場所を記述何語？
starlight|（8）太陽が輝いている場所を記述何語？
(6) What words describe the brightness of the stars?|（8）太陽が輝いている場所を記述何語？
bright, brilliant, dim, luminous|（8）太陽が輝いている場所を記述何語？
(7) What words describe the appearance of the stars?|（8）太陽が輝いている場所を記述何語？
twinkle, wink, glittering, star shaped|（8）太陽が輝いている場所を記述何語？
(8) What words refer to the study of the stars?|（8）太陽が輝いている場所を記述何語？
astronomy, astronomer, astrology, astrologer, stargazer, magi|（8）太陽が輝いている場所を記述何語？
(9) What is a group of stars called?|（8）太陽が輝いている場所を記述何語？
constellation, galaxy, nebula|（8）太陽が輝いている場所を記述何語？
Planet|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to planets (large objects that circle the sun, looking like bright wandering stars in the sky), comets (objects that circle the sun, looking like a star with a tail), meteors (small objects that come from space and burn up when they hit the earth's atmosphere, causing a streak of light across the sky), and asteroids (small objects that circle the sun), planetary moons (large objects that circle the planets). Some cultures do not study the stars and will have few or no words in this domain. Others cultures that study the stars will have many words. There are only five planets that people can see in the sky--Mercury, Venus, Mars, Jupiter, and Saturn. The others are only known from the scientific study of astronomy.|（8）太陽が輝いている場所を記述何語？
(1) What words refer to a planet?|（8）太陽が輝いている場所を記述何語？
planet, planetary, wandering star|（8）太陽が輝いている場所を記述何語？
(2) What are the names of the planets?|（8）太陽が輝いている場所を記述何語？
Mercury, Venus (Morning Star, Evening Star), Earth, Mars, Jupiter, Saturn, Uranus, Neptune, Pluto|（8）太陽が輝いている場所を記述何語？
(3) What words refer to how the planets move?|（8）太陽が輝いている場所を記述何語？
revolve (around the sun), orbit,|（8）太陽が輝いている場所を記述何語？
(4) What words refer to the sun and planets?|（8）太陽が輝いている場所を記述何語？
solar system|（8）太陽が輝いている場所を記述何語？
(5) What words refer to comets?|（8）太陽が輝いている場所を記述何語？
comet, tail, head|（8）太陽が輝いている場所を記述何語？
(6) What do comets do?|（8）太陽が輝いている場所を記述何語？
appear, point, fade|（8）太陽が輝いている場所を記述何語？
(7) What words refer to meteors?|（8）太陽が輝いている場所を記述何語？
meteor, shooting star, falling star, meteor trail, meteor shower|（8）太陽が輝いている場所を記述何語？
(8) What words describe where the sun is shining?|（8）太陽が輝いている場所を記述何語？
sunlit, be (out) in the sun, lit by the sun, shine on, be in the sunlight, sunny (spot)|（8）太陽が輝いている場所を記述何語？
(9) What words describe when or where the sun doesn't shine?|（8）太陽が輝いている場所を記述何語？
shade, eclipse of the sun, sunless, shady, shadow, eclipse (v),|（8）太陽が輝いている場所を記述何語？
(10) What words refer to the light of the sun?|（8）太陽が輝いている場所を記述何語？
sunlight, ray, sunshine, beam, light, sunbeam, radiance, glow, sparkle, glisten, glare|（8）太陽が輝いている場所を記述何語？
(11) What words describe the brightness of the sun?|（8）太陽が輝いている場所を記述何語？
bright, intense, brilliant, blinding, glaring, glistening, luminous, dim|（8）太陽が輝いている場所を記述何語？
(12) What refer to the sun heating things?|（8）太陽が輝いている場所を記述何語？
warm, heat, dry|（8）太陽が輝いている場所を記述何語？
(13) What else does the sun do?|（8）太陽が輝いている場所を記述何語？
looks down on|（8）太陽が輝いている場所を記述何語？
(14) What words describe the damage done by sunlight?|（8）太陽が輝いている場所を記述何語？
sunburn, sunstroke, suntan, tan, heatstroke, heat prostration, sun damage, fading from the sun, bleached by the sun|（8）太陽が輝いている場所を記述何語？
(15) What do people use to protect themselves from the sun?|（8）太陽が輝いている場所を記述何語？
sunglasses, shade tree, suntan lotion, awning, sun umbrella, parasol, sunbonnet, hat, visor|（8）太陽が輝いている場所を記述何語？
(16) What words are used of telling time by the sun?|（8）太陽が輝いている場所を記述何語？
sundial, angle of the sun, sun-clock, shoot the sun, position of the sun,|（8）太陽が輝いている場所を記述何語？
(17) What words refer to using the power of the sun?|（8）太陽が輝いている場所を記述何語？
solar energy, solar power, solar panel|（8）太陽が輝いている場所を記述何語？
Moon|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to the moon. In your culture people may believe things about the moon. For instance in European culture people used to believe that the moon caused people to become crazy. So in English we have words like "moon-struck" and "lunatic." You should include such words in this domain.|（8）太陽が輝いている場所を記述何語？
(1) What words refer to the moon?|（8）太陽が輝いている場所を記述何語？
moon, lunar, satellite|（8）太陽が輝いている場所を記述何語？
(2) What words refer to how the moon moves?|（8）太陽が輝いている場所を記述何語？
rise, set, sink|（8）太陽が輝いている場所を記述何語？
(3) What words refer to the time when the moon rises?|（8）太陽が輝いている場所を記述何語？
moonrise, rising of the moon,|（8）太陽が輝いている場所を記述何語？
(4) What words refer to the time when the moon sets?|（8）太陽が輝いている場所を記述何語？
moonset, setting of the moon,|（8）太陽が輝いている場所を記述何語？
(5) What words refer to when the moon is shining?|（8）太陽が輝いている場所を記述何語？
moon is shining, by the light of the moon, moon is/comes out,|（8）太陽が輝いている場所を記述何語？
(6) What words describe where the moon is shining?|（8）太陽が輝いている場所を記述何語？
moonlit, be in the moonlight, lit by the moon, shine on,|（8）太陽が輝いている場所を記述何語？
(7) What words describe when or where the moon doesn't shine?|（8）太陽が輝いている場所を記述何語？
moonless night, eclipse of the moon, eclipse (v),|（8）太陽が輝いている場所を記述何語？
(8) What words refer to the light of the moon?|（8）太陽が輝いている場所を記述何語？
moonlight, moonbeam, moonshine,|（8）太陽が輝いている場所を記述何語？
(9) What words describe the brightness of the moon?|（8）太陽が輝いている場所を記述何語？
bright, pale,|（8）太陽が輝いている場所を記述何語？
(10) What words describe the appearance of the moon?|（8）太陽が輝いている場所を記述何語？
man in the moon, harvest moon|（8）太陽が輝いている場所を記述何語？
(11) What words refer to the spots on the moon?|（8）太陽が輝いている場所を記述何語？
lunar sea, crater,|（8）太陽が輝いている場所を記述何語？
(12) What words refer to the phases of the moon?|（8）太陽が輝いている場所を記述何語？
phase, new moon, full moon, half moon, quarter moon, crescent, sliver, moon is waxing (getting bigger), moon is waning (getting smaller), wax and wane|（8）太陽が輝いている場所を記述何語？
(13) What words refer to the time it takes for the moon to go through its phases?|（8）太陽が輝いている場所を記述何語？
(lunar) month|（8）太陽が輝いている場所を記述何語？
Star|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to the stars and other heavenly bodies.|（8）太陽が輝いている場所を記述何語？
(1) What words are used to refer to the stars?|（8）太陽が輝いている場所を記述何語？
star, starry, stellar|（8）太陽が輝いている場所を記述何語？
(2) What words describe the sky when the stars are shining?|（8）太陽が輝いている場所を記述何語？
starlit (sky), (sky is) ablaze with stars, starry (sky), star studded (sky), stars are shining|（8）太陽が輝いている場所を記述何語？
(3) What words are used for where the stars are shining?|（8）太陽が輝いている場所を記述何語？
starlit, lit by the stars|（8）太陽が輝いている場所を記述何語？
(4) What words are used for when or where the stars don't shine?|（8）太陽が輝いている場所を記述何語？
starless (sky, night)|（8）太陽が輝いている場所を記述何語？
(5) What words refer to the light of the stars?|（8）太陽が輝いている場所を記述何語？
starlight|（8）太陽が輝いている場所を記述何語？
(6) What words describe the brightness of the stars?|（8）太陽が輝いている場所を記述何語？
bright, brilliant, dim, luminous|（8）太陽が輝いている場所を記述何語？
(7) What words describe the appearance of the stars?|（8）太陽が輝いている場所を記述何語？
twinkle, wink, glittering, star shaped|（8）太陽が輝いている場所を記述何語？
(8) What words refer to the study of the stars?|（8）太陽が輝いている場所を記述何語？
astronomy, astronomer, astrology, astrologer, stargazer, magi|（8）太陽が輝いている場所を記述何語？
(9) What is a group of stars called?|（8）太陽が輝いている場所を記述何語？
constellation, galaxy, nebula|（8）太陽が輝いている場所を記述何語？
Planet|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to planets (large objects that circle the sun, looking like bright wandering stars in the sky), comets (objects that circle the sun, looking like a star with a tail), meteors (small objects that come from space and burn up when they hit the earth's atmosphere, causing a streak of light across the sky), and asteroids (small objects that circle the sun), planetary moons (large objects that circle the planets). Some cultures do not study the stars and will have few or no words in this domain. Others cultures that study the stars will have many words. There are only five planets that people can see in the sky--Mercury, Venus, Mars, Jupiter, and Saturn. The others are only known from the scientific study of astronomy.|（8）太陽が輝いている場所を記述何語？
(1) What words refer to a planet?|（8）太陽が輝いている場所を記述何語？
planet, planetary, wandering star|（8）太陽が輝いている場所を記述何語？
(2) What are the names of the planets?|（8）太陽が輝いている場所を記述何語？
Mercury, Venus (Morning Star, Evening Star), Earth, Mars, Jupiter, Saturn, Uranus, Neptune, Pluto|（8）太陽が輝いている場所を記述何語？
(3) What words refer to how the planets move?|（8）太陽が輝いている場所を記述何語？
revolve (around the sun), orbit,|（8）太陽が輝いている場所を記述何語？
(4) What words refer to the sun and planets?|（8）太陽が輝いている場所を記述何語？
solar system|（8）太陽が輝いている場所を記述何語？
(5) What words refer to comets?|（8）太陽が輝いている場所を記述何語？
comet, tail, head|（8）太陽が輝いている場所を記述何語？
(6) What do comets do?|（8）太陽が輝いている場所を記述何語？
appear, point, fade|（8）太陽が輝いている場所を記述何語？
(7) What words refer to meteors?|（8）太陽が輝いている場所を記述何語？
meteor, shooting star, falling star, meteor trail, meteor shower|（8）太陽が輝いている場所を記述何語？
(8) What words describe where the sun is shining?|（8）太陽が輝いている場所を記述何語？
sunlit, be (out) in the sun, lit by the sun, shine on, be in the sunlight, sunny (spot)|（8）太陽が輝いている場所を記述何語？
(9) What words describe when or where the sun doesn't shine?|（8）太陽が輝いている場所を記述何語？
shade, eclipse of the sun, sunless, shady, shadow, eclipse (v),|（8）太陽が輝いている場所を記述何語？
(10) What words refer to the light of the sun?|（8）太陽が輝いている場所を記述何語？
sunlight, ray, sunshine, beam, light, sunbeam, radiance, glow, sparkle, glisten, glare|（8）太陽が輝いている場所を記述何語？
(11) What words describe the brightness of the sun?|（8）太陽が輝いている場所を記述何語？
bright, intense, brilliant, blinding, glaring, glistening, luminous, dim|（8）太陽が輝いている場所を記述何語？
(12) What refer to the sun heating things?|（8）太陽が輝いている場所を記述何語？
warm, heat, dry|（8）太陽が輝いている場所を記述何語？
(13) What else does the sun do?|（8）太陽が輝いている場所を記述何語？
looks down on|（8）太陽が輝いている場所を記述何語？
(14) What words describe the damage done by sunlight?|（8）太陽が輝いている場所を記述何語？
sunburn, sunstroke, suntan, tan, heatstroke, heat prostration, sun damage, fading from the sun, bleached by the sun|（8）太陽が輝いている場所を記述何語？
(15) What do people use to protect themselves from the sun?|（8）太陽が輝いている場所を記述何語？
sunglasses, shade tree, suntan lotion, awning, sun umbrella, parasol, sunbonnet, hat, visor|（8）太陽が輝いている場所を記述何語？
(16) What words are used of telling time by the sun?|（8）太陽が輝いている場所を記述何語？
sundial, angle of the sun, sun-clock, shoot the sun, position of the sun,|（8）太陽が輝いている場所を記述何語？
(17) What words refer to using the power of the sun?|（8）太陽が輝いている場所を記述何語？
solar energy, solar power, solar panel|（8）太陽が輝いている場所を記述何語？
Moon|（8）太陽が輝いている場所を記述何語？
Use this domain for words related to the moon. In your culture people may believe things about the moon. For instance in European culture people used to believe that the moon caused people to become crazy. So in English we have words like "moon-struck" and "lunatic." You should include such words in this domain.|（8）太陽が輝いている場所を記述何語？
(1) What words refer to the moon?|（8）太陽が輝いている場所を記述何語？
moon, lunar, satellite|（8）太陽が輝いている場所を記述何語？
(2) What words refer to how the moon moves?|（8）太陽が輝いている場所を記述何語？
rise, set, sink|（8）太陽が輝いている場所を記述何語？
(3) What words refer to the time when the moon rises?|（8）太陽が輝いている場所を記述何語？
moonrise, rising of the moon,|（8）太陽が輝いている場所を記述何語？
(4) What words refer to the time when the moon sets?|（8）太陽が輝いている場所を記述何語？
moonset, setting of the moon,|（8）太陽が輝いている場所を記述何語？
(5) What words refer to when the moon is shining?|（8）太陽が輝いている場所を記述何語？
moon is shining, by the light of the moon, moon is/comes out,|（8）太陽が輝いている場所を記述何語？
