Universe, creation|ចក្កវាឡ​បង្កើត
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|ពណ៌​ខៀវ​, ច្បាស់​លាស់​, ខ្មៅ (យប់​)​, ​​ពពក​, ពពក​ដែល​ពោរពេញ​ទៅ​, អស្ចារ្យ​ងងឹត​, មេឃ​, យប់​, foreboding​, ព្យុះ​, ងងឹត​តារា​ដែល​មាន​លំអ
(6) What words refer to the edge of the sky where it meets the ground?|(6​) តើ​ពាក្យ​អ្វី​ដែល​សំដៅ​ទៅ​លើ​គែម​នៃ​កន្លែង​ដែល​វា​បាន​ជួប​មេឃ​ដី​បាន​ដែរ​ឬទេ​?
horizon, skyline|ផ្តេក​, ជើងមេឃ
(7) What words refer to something in the sky?|(7​) តើ​ពាក្យ​អ្វី​ដែល​សំដៅ​ទៅ​លើ​អ្វី​មួយ​នៅ​លើ​មេឃ​?
heavenly body, celestial body, luminary|រាង​កាយ​នៅ​ស្ថានសួគ៌​រាងកាយ celestial​, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8​) តើ​ពាក្យ​អ្វី​ដែល​សំដៅ​ទៅ​លើ​ពន្លឺ​ដែល​បង្ហាញ​នៅ​ក្នុង​មេឃ​ភាគ​ខាង​ជើង (ឬ​ភាគ​ខាង​ត្បូង​)​?
aurora borealis, northern lights|borealis Aurora​, ពន្លឺ​ភ្លើង​នៅ​ភាគ​ខាងជើង
(9) What words refer to something being in the sky?|(9​) តើ​ពាក្យ​អ្វី​ដែល​សំដៅ​ទៅ​លើ​អ្វី​មួយ​ដែល​ត្រូវ​បាន​នៅ​លើមេឃ​?
aloft, up in the sky, up in the air,|ក្តោប​បាន​កើន​ឡើង​នៅ​លើ​មេឃ​ដោយ​បាន​កើន​ឡើង​នៅ​ក្នុង​ខ្យល់​,
Sun|ស៊ុន
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|ប្រើ​ដែន​សម្រាប់​ពាក្យ​ដែល​ទាក់ទង​ទៅ​នឹង​ព្រះអាទិត្យ​នេះ​។ ព្រះអាទិត្យ​បាន​ធ្វើ​អ្វី​ជា​មូលដ្ឋាន​ទាំង​បី​។ វា​ផ្លាស់ទី​វា​ផ្តល់​នូវ​ពន្លឺ​និង​វា​ផ្តល់​នូវ​កំ​ដៅ​។ សកម្មភាព​ទាំង​បី​នេះ​ត្រូវ​បាន​ចូល​រួម​នៅ​ក្នុង​អត្ថន័យ​នៃ​ការ​ភាគ​ច្រើន​បំផុត​នៃ​ពាក្យ​នៅ​ក្នុង​ដែន​នេះ​។ ចាប់​តាំង​ពី​ពេល​ដែល​ព្រះអាទិត្យ​ផ្លាស់ទី​ផ្តេក​ខាង​ក្រោម​នេះ​ពាក្យ​ជា​ច្រើន​យោង​ទៅ​វា​កំណត់​ឬ​ការ​កើន​ឡើង​។ ចាប់​តាំង​ពី​ព្រះអាទិត្យ​ស្ថិត​នៅ​ពី​លើ​ពពក​ពាក្យ​ជា​ច្រើន​យោង​ទៅ​វា​បាន​ផ្លាស់​ប្តូ​រ​នៅ​ពីក្រោយ​ពពក​និង​ពពក​បាន​រារាំង​ពន្លឺ​របស់​វា​។ ពន្លឺ​ព្រះអាទិត្យ​និង​កំ​ដៅ​ផង​ដែរ​នូវ​ផល​អនុវិទ្យាល័យ​។ ព្រះអាទិត្យ​បាន​ប​ណ្តា​ល​ឱ្យ​រុក្ខជាតិ​ដើម្បី​រីក​លូតលាស់​ហើយ​វា​បាន​ប​ណ្តា​ល​ឱ្យ​មាន​ការ​ខូច​ខាត​ទៅ​នឹង​រឿង​។
(1) What words refer to the sun?|(1​) តើ​ពាក្យ​អ្វី​ដែល​សំដៅ​ទៅ​លើ​ព្រះអាទិត្យ​?
sun, solar, sol, daystar, our star|ព្រះអាទិត្យ​, ព្រះ​អាទិត្យ​, Sol​, ផ្កាយ​ថ្ងៃ​, តារា​របស់​យើង
