Universe, creation|ວິ​ທະ​ຍາ​ໄລ​, ການ​ສ້າງ
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|ສີ​ຟ້າ​, ຈະ​ແຈ້ງ​, ສີ​ດໍາ (ໃນ​ຕອນ​ກາງ​ຄືນ​)​, ​​ຟັງ​ເຕັມ​ໄປ​ຄຸ້ນ​, brilliant ຊ​້​ໍ​າ​ຟ້າ​,​,​, ໃນ​ຕອນ​ກາງ​ຄືນ​, ສັງ​ຫອນ​, ມີ​ພະ​ຍຸ​, ຊ​້​ໍ​າ star​, studded
(6) What words refer to the edge of the sky where it meets the ground?|(6​) ຄໍາ​ໃດ​ສົ່ງ​ກັບ​ແຂບ​ຂອງ​ທ້ອງ​ຟ້າ​ທີ່​ມັນ​ພົບ​ພື້ນ​ໄດ້​ແນວ​ໃດ​?
horizon, skyline|ຂອບ​ເຂດ skyline​,
(7) What words refer to something in the sky?|(7​) ຄໍາ​ໃດ​ສົ່ງ​ກັບ​ບາງ​ສິ່ງ​ບາງ​ຢ່າງ​ໃນ​ເຄົ້າ​ໄດ້​?
heavenly body, celestial body, luminary|ຮ່າງ​ກາຍ​ດາ​ເທິງ​ສະ​ຫວັນ​, ຮ່າງ​ກາຍ​ຂອງ​ຊັ້ນ​ສູງ​, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8​) ຄໍາ​ໃດ​ເບິ່ງ​ແສງ​ທີ່​ປາ​ກົດ​ຂຶ້ນ​ໃນ​ທ້ອງ​ຟ້າ​ພາກ​ເຫນືອ (ຫຼື​ໃຕ້​)​?
aurora borealis, northern lights|borealis ແສງ​ເງິນ​ແສງ​ທອງ​, ແສງ​ພາກ​ເຫນືອ
(9) What words refer to something being in the sky?|(9​) ຄໍາ​ໃດ​ສົ່ງ​ກັບ​ບາງ​ສິ່ງ​ບາງ​ຢ່າງ​ເປັນ​ໃນ​ເຄົ້າ​ໄດ້​?
aloft, up in the sky, up in the air,|ສູງ​, ໃນ​ເຄົ້າ​ໄດ້​, ໃນ​ທາງ​ອາ​ກາດ​,
Sun|ແສງ​ຕາ​ເວັນ
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|ການ​ນໍາ​ໃຊ້​ໂດ​ເມນ​, ສໍາ​ລັບ​ຄໍາ​ສັບ​ຕ່າງໆ​ທີ່​ກ່ຽວ​ຂ້ອງ​ກັບ​ແສງ​ຕາ​ເວັນ​ໄດ້​. ແສງ​ຕາ​ເວັນ​ທີ່​ສາມ​ຢ່າງ​ພື້ນ​ຖານ​. ມັນ moves​, ມັນ​ເຮັດ​ໃຫ້​ແສງ​ສະ​ຫວ່າງ​, ແລະ​ມັນ​ເຮັດ​ໃຫ້​ຄວາມ​ຮ້ອນ​. ສາມ​ປະ​ຕິ​ບັດ​ເຫຼົ່າ​ນີ້​ແມ່ນ​ໄດ້​ມີ​ສ່ວນ​ຮ່ວມ​ໃນ​ຄວາມ​ຫມາຍ​ຂອງ​ທີ່​ສຸດ​ຂອງ​ຄໍາ​ສັບ​ຕ່າງໆ​ໃນ​ໂດ​ເມນ​ນີ້​. ເນື່ອງ​ຈາກ​ແສງ​ຕາ​ເວັນ​ໄດ້​ຍ້າຍ​ຂ້າງ​ລຸ່ມ​ນີ້​ຂອບ​ເຂດ​ຂອງ​, ຄໍາ​ຈໍາ​ນວນ​ຫຼາຍ​ສົ່ງ​ກັບ​ມັນ​ການ​ສ້າງ​ຕັ້ງ​ຫຼື​ເພີ່ມ​ຂຶ້ນ​. ເນື່ອງ​ຈາກ​ແສງ​ຕາ​ເວັນ​ແມ່ນ​ຢູ່​ຂ້າງ​ເທິງ​ຟັງ​ໄດ້​, ຄໍາ​ສັບ​ຕ່າງໆ​ຈໍາ​ນວນ​ຫຼາຍ​ສົ່ງ​ກັບ​ມັນ​ການ​ເຄື່ອນ​ຍ້າຍ​ທີ່​ຢູ່​ເບື້ອງ​ຫລັງ​ການ​ຟັງ​ແລະ​ການ​ຟັງ​ກັດ​ແສງ​ສະ​ຫວ່າງ​ຂອງ​ຕົນ​. ແສງ​ສະ​ຫວ່າງ​ຂອງ​ແສງ​ຕາ​ເວັນ​ແລະ​ຄວາມ​ຮ້ອນ​ຍັງ​ຜະ​ລິດ​ຜົນ​ກະ​ທົບ​ມັດ​ທະ​ຍົມ​. ແສງ​ຕາ​ເວັນ​ເປັນ​ສາ​ເຫດ​ຕົ້ນ​ທີ່​ຈະ​ຂະ​ຫຍາຍ​ຕົວ​, ແລະ​ມັນ​ເປັນ​ສາ​ເຫດ​ຂອງ​ຄວາມ​ເສຍ​ຫາຍ​ກັບ​ສິ່ງ​ຕ່າງໆ​.
(1) What words refer to the sun?|(1​) ຄໍາ​ໃດ​ເບິ່ງ​ແສງ​ຕາ​ເວັນ​?
sun, solar, sol, daystar, our star|ແສງ​ຕາ​ເວັນ​, ແສງ​ຕາ​ເວັນ​, sol​, Daystar​, ດາວ​ຂອງ​ພວກ​ເຮົາ
